scenario_run_id,confidence_base,confidence_adjustments,confidence_score_internal,final_scenario_confidence,confidence_rationale
SR-BL-868B3BEA99B84FFE-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-7248F57B557B2D88-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-FA960D624BB4A356-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-8967EE194089397D-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-8967EE194089397D-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-8967EE194089397D-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-8967EE194089397D-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-39B86971C6CEAA6C-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-D6ADC7A9999608EF-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-DC41AA9F364EC81B-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-DC41AA9F364EC81B-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-DC41AA9F364EC81B-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-70133AFA8D93E01B-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-BC5DDA2FCB098382-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3048F5335B1741BC-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3048F5335B1741BC-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3048F5335B1741BC-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-3048F5335B1741BC-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-5321F55DF7C730EE-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-D2B7A0571B895508-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-EB935D17ADFCF500-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-EB935D17ADFCF500-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-EB935D17ADFCF500-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-EB935D17ADFCF500-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-571A825C51EF3462-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-8DA7F7613F011877-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-24E8132F23E980FC-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-24E8132F23E980FC-COMP-CONS-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-24E8132F23E980FC-COMP-EXP-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-24E8132F23E980FC-COMP-HIGH-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-72CF4289682BAE79-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-D514917F5CC0C9BF-,50.0,[],Low,Insufficient Evidence,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
SR-BL-1A12AF7C3E39DADF-COMP-BASE-001,50.0,[],Low,Low,"Base from completeness 50.0%, 0 adjustments applied, result: Low"
