approval_package_id,episode_id,hospital_id,department_id,department_name,episode_start_date,episode_end_date,dominant_kpi_id,dominant_kpi_name,maximum_priority_tier,recommendation_type,proposed_management_action,scenario_review_required,scenario_review_priority,scenario_review_reason,scenario_review_scope,scenario_engine_status,provisional_threshold_flag,provisional_kpi_list,contradiction_severity,financial_review_required
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,HOSP-001,DEPT-ADM,Admissions,2026-01-08,2026-01-08,kpi_001,Staffing Level,High,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,HOSP-001,DEPT-ADM,Admissions,2026-01-16,2026-01-16,kpi_001,Staffing Level,Elevated,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,HOSP-001,DEPT-ADM,Admissions,2026-02-09,2026-02-09,kpi_001,Staffing Level,High,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,HOSP-001,DEPT-ADM,Admissions,2026-03-28,2026-04-01,kpi_001,Staffing Level,High,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,HOSP-001,DEPT-ADM,Admissions,2026-04-10,2026-04-10,kpi_001,Staffing Level,High,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,HOSP-001,DEPT-ADM,Admissions,2026-04-20,2026-04-20,kpi_001,Staffing Level,High,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,HOSP-001,DEPT-ADM,Admissions,2026-05-06,2026-05-06,kpi_001,Staffing Level,High,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,HOSP-001,DEPT-ADM,Admissions,2026-06-02,2026-06-02,kpi_001,Staffing Level,Elevated,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,HOSP-001,DEPT-ADM,Admissions,2026-06-08,2026-06-08,kpi_001,Staffing Level,Critical,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,HOSP-001,DEPT-ADM,Admissions,2026-07-21,2026-07-21,kpi_001,Staffing Level,High,Immediate Stabilisation,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,True,Required,Action involves relief staffing — operational displacement or cross-KPI effects possible; simulation would materially improve decision,Episode-level operational configuration,Include,False,,Material,True
