configuration_id,rule_name,field_name,permitted_values,prohibited_values,enforcement_required,display_order,active_flag,version,approval_status,provisional_flag,governance_note
CFG-DISP-001,Permitted Readiness Statuses,final_readiness_status,"Ready for Integrated Management Review;Ready with Conditions;Requires Assumption Validation;Requires Baseline Validation;Requires Financial Input;Requires Benefit Validation;Requires Budget Data;Requires Stakeholder Validation;Requires Additional Scenario Analysis;Requires Evidence Completion;Requires Lineage Completion;Monitoring Only;Non-Quantitative;Not Suitable for Decision Use;Rejected","Approved;Preferred;Optimal;Best;Guaranteed;Selected;Chosen",True,1,True,1.0,Draft Analytical Configuration,False,Only governed readiness statuses permitted
CFG-DISP-002,Approval Status Lock,approval_status,"Pending Management Review","Approved;Rejected;Confirmed;Signed Off;Endorsed",True,2,True,1.0,Draft Analytical Configuration,False,Approval must remain pending in this step
CFG-DISP-003,Causality Status Lock,causality_status,"Not Confirmed","Confirmed;Validated;Proven;Established",True,3,True,1.0,Draft Analytical Configuration,False,Causality remains not confirmed
CFG-DISP-004,No Preferred Scenario,preferred_scenario_status,"None Selected;Not Selected","Preferred;Recommended;Optimal;Best Option;Chosen Scenario",True,4,True,1.0,Draft Analytical Configuration,False,No preferred scenario may be selected
CFG-DISP-005,No Selected Management Action,management_action_status,"None Selected;Not Selected","Selected;Approved;Executed;Implemented",True,5,True,1.0,Draft Analytical Configuration,False,No management action may be selected
CFG-DISP-006,No Automatic Approval,automatic_approval_flag,"False;Not Applicable","True;Yes;Enabled",True,6,True,1.0,Draft Analytical Configuration,False,No automatic approval permitted
CFG-DISP-007,No Hidden Blocking Conditions,blocking_condition_visibility,"Visible;Explicit;Documented","Hidden;Suppressed;Omitted;Masked",True,7,True,1.0,Draft Analytical Configuration,False,Blocking conditions must remain visible
CFG-DISP-008,No Missing Value to Zero Conversion,missing_value_handling,"Retained as Missing;Explicit Null;Not Available","Converted to Zero;Imputed as Zero;Default Zero",True,8,True,1.0,Draft Analytical Configuration,False,Missing values must not be converted to zero
CFG-DISP-009,Prohibited Wording Check,decision_language,"Conditional;Governed;Pending;Under Review","Guaranteed;Certain;Will Save;Must Select;Recommended Option;Choose This;Optimal;Best",True,9,True,1.0,Draft Analytical Configuration,False,Prohibited wording must not appear
CFG-DISP-010,Permitted Wording Only,management_wording,"Review;Assess;Consider;Evaluate;Monitor;Validate;Confirm","Approve;Endorse;Select;Choose;Decide;Commit",True,10,True,1.0,Draft Analytical Configuration,False,Only permitted non-decisional wording allowed
CFG-DISP-011,No Guaranteed Savings Language,financial_language,"Estimated;Projected;Governed Assumption;Conditional","Guaranteed Savings;Certain Return;Assured Benefit;Promised Saving",True,11,True,1.0,Draft Analytical Configuration,False,No guaranteed-savings language permitted
CFG-DISP-012,No Unsupported ROI,roi_status,"Not Calculated;Governed Estimate;Conditional","High ROI;Certain ROI;Guaranteed ROI;Validated ROI",True,12,True,1.0,Draft Analytical Configuration,False,No unsupported ROI claims permitted
