configuration_id,action_id,action_name,audit_required,audit_event_type,required_actor_role,evidence_attachment_required,reason_required,timestamp_required,approval_reference_required,future_audit_status,display_order,active_flag,version,approval_status,provisional_flag,governance_note
ACTAUD-001,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,1,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-002,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,2,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-003,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,3,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-004,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,4,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-005,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,5,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-006,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,6,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-007,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,7,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-008,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,8,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-009,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,9,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-010,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,10,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-011,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,11,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-012,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,12,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-013,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,13,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-014,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,14,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-015,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,15,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-016,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,16,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-017,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,17,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
ACTAUD-018,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,18,True,1.0,Draft Analytical Configuration,True,Governed audit requirement
