configuration_id,action_id,action_name,primary_role,secondary_role,tertiary_role,display_order,active_flag,version,approval_status,provisional_flag,governance_note
ACTROL-001,A001,Review Integrated Decision Package,Hospital COO / General Manager,Medical Director,Analytics Team,1,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-002,A002,Compare Scenario Options,Analytics Team,Medical Director,,2,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-003,A003,Validate Assumptions,Analytics Team,Stakeholder Owner,,3,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-004,A004,Validate Baseline,Data Owner,Department Head,,4,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-005,A005,Validate Financial Inputs,Finance,,,5,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-006,A006,Validate Benefit Assumptions,Finance,Analytics Team,,6,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-007,A007,Provide Budget Information,Finance,,,7,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-008,A008,Request Additional Scenario,Analytics Team,,,8,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-009,A009,Request Stakeholder Review,Stakeholder Owner,Department Head,,9,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-010,A010,Proceed to Limited-Trial Consideration,Hospital COO / General Manager,Medical Director,Clinical Lead,10,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-011,A011,Continue Monitoring,Operations Manager,Department Head,,11,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-012,A012,Escalate for Immediate Management Attention,Hospital COO / General Manager,Medical Director,,12,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-013,A013,Defer Decision,Hospital COO / General Manager,Medical Director,,13,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-014,A014,Reject Decision Use,Hospital COO / General Manager,Governance / Audit Reviewer,,14,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-015,A015,Request Evidence Completion,Data Owner,Analytics Team,,15,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-016,A016,Request Lineage Completion,Data Owner,Analytics Team,,16,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-017,A017,Route to Non-Quantitative Review,Clinical Lead,Department Head,,17,True,1.0,Draft Analytical Configuration,True,Governed role assignment
ACTROL-018,A018,No Action - Monitoring Continues,Operations Manager,Department Head,,18,True,1.0,Draft Analytical Configuration,True,Governed role assignment
