blocking_condition_id,decision_readiness_id,decision_scorecard_id,decision_package_id,condition_type,condition_category,condition_description,severity,blocking_flag,source_phase,source_record_id,responsible_role,required_resolution,resolution_evidence_required,current_status,transition_enabled_after_resolution
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-stakeholder_validation_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,stakeholder_validation_condition,Conditional,Derived from stakeholder_validation_required = True,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-stakeholder_validation_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-scenario_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,scenario_completeness_condition,Conditional,Derived from scenario_readiness = 1.0,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-scenario_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-evidence_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,evidence_completeness_condition,Conditional,Derived from evidence_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-evidence_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-lineage_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,lineage_completeness_condition,Conditional,Derived from lineage_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-lineage_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-blocking_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,blocking_condition,Blocking,Derived from governance_burden_status = Moderate,High,True,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-blocking_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-stakeholder_validation_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,stakeholder_validation_condition,Conditional,Derived from stakeholder_validation_required = True,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-stakeholder_validation_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-scenario_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,scenario_completeness_condition,Conditional,Derived from scenario_readiness = 1.0,Moderate,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-scenario_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-evidence_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,evidence_completeness_condition,Conditional,Derived from evidence_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-evidence_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-lineage_completeness_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,lineage_completeness_condition,Conditional,Derived from lineage_completeness = 1.0,Low,False,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-lineage_completeness_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
BC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-blocking_condition,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,blocking_condition,Blocking,Derived from governance_burden_status = Moderate,High,True,2D-3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-blocking_condition,Operations Manager,Review and resolve before proceeding,Validation documentation required,Pending,False
