scenario_run_id,approval_package_id,episode_id,scenario_template_id,comparator_id,comparator_type,scenario_family,baseline_id,primary_kpi_id,scenario_execution_status,final_scenario_confidence,causality_status,contradiction_severity,provisional_warning,governance_warning,assumption_profile,assumption_set_id,assumption_values_json,overall_validation_status,baseline_validation_status,numerical_validation_status,assumption_challenge_status,governance_compliance_status,tradeoff_classification,sensitivity_classification,dominance_classification,displacement_classification,evidence_id,lineage_id,closure_status
SR-BL-868B3BEA99B84FFE-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,-BLOCKED,Baseline,No-Action or Baseline Comparator,BL-868B3BEA99B84FFE,kpi_001,Blocked — Unsupported Family,Insufficient Evidence,Not Confirmed,No Contradiction,False,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,,,{},Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,,Sensitive to Assumption Intensity,,,,,Closed — Unsupported
SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-BASE-001,Baseline,Staffing Coverage Adjustment,BL-0F2C9FAD4B411D32,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,{},Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Neutral,Sensitive to Assumption Intensity,,No Displacement Identified,EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-BASE-0;EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-REC-1;EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-RECID-2;EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-COMP-3;EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-PKG-4;EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-EP-5,LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-REC-1;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-RECID-2;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-COMP-3;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-PKG-4;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-EP-5,Closed — Valid with Conditions
SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-CONS-001,Conservative,Staffing Coverage Adjustment,BL-0F2C9FAD4B411D32,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,"{""additional_staff_count"": 1.0, ""temporary_staff_count"": 1.0, ""staff_reassignment_count"": 0.0, ""uncovered_shift_reduction_pct"": 0.0, ""intervention_duration_days"": 7.0}",Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-BASE-0;EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-REC-1;EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-RECID-2;EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-COMP-3;EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-PKG-4;EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-EP-5,LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-REC-1;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-RECID-2;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-COMP-3;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-PKG-4;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-EP-5,Closed — Valid with Conditions
SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-EXP-001,Expected,Staffing Coverage Adjustment,BL-0F2C9FAD4B411D32,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,Staffing coverage capped at 100.0%.,,staffing-default,"{""additional_staff_count"": 2.0, ""temporary_staff_count"": 2.0, ""staff_reassignment_count"": 1.0, ""uncovered_shift_reduction_pct"": 10.0, ""intervention_duration_days"": 14.0}",Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-BASE-0;EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-REC-1;EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-RECID-2;EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-COMP-3;EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-PKG-4;EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-EP-5,LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-REC-1;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-RECID-2;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-COMP-3;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-PKG-4;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-EP-5,Closed — Valid with Conditions
SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-HIGH-001,Higher Intensity,Staffing Coverage Adjustment,BL-0F2C9FAD4B411D32,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,Staffing coverage capped at 100.0%.,,staffing-default,"{""additional_staff_count"": 4.0, ""temporary_staff_count"": 3.0, ""staff_reassignment_count"": 2.0, ""uncovered_shift_reduction_pct"": 20.0, ""intervention_duration_days"": 30.0}",Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-BASE-0;EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-REC-1;EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-RECID-2;EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-COMP-3;EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-PKG-4;EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-EP-5,LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-BASE-0;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-REC-1;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-RECID-2;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-COMP-3;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-PKG-4;LIN-EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-EP-5,Closed — Valid with Conditions
SR-BL-7248F57B557B2D88-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,BL-7248F57B557B2D88,kpi_001,Blocked — Unsupported Family,Insufficient Evidence,Not Confirmed,No Contradiction,False,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,,,{},Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,,Sensitive to Assumption Intensity,,,,,Closed — Unsupported
SR-BL-FA960D624BB4A356-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,-BLOCKED,Baseline,No-Action or Baseline Comparator,BL-FA960D624BB4A356,kpi_001,Blocked — Unsupported Family,Insufficient Evidence,Not Confirmed,No Contradiction,False,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,,,{},Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,,Sensitive to Assumption Intensity,,,,,Closed — Unsupported
SR-BL-8967EE194089397D-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,COMP-BASE-001,Baseline,Staffing Coverage Adjustment,BL-8967EE194089397D,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,{},Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Neutral,Sensitive to Assumption Intensity,,No Displacement Identified,EV-SR-BL-8967EE194089397D-COMP-BASE-001-BASE-0;EV-SR-BL-8967EE194089397D-COMP-BASE-001-REC-1;EV-SR-BL-8967EE194089397D-COMP-BASE-001-RECID-2;EV-SR-BL-8967EE194089397D-COMP-BASE-001-COMP-3;EV-SR-BL-8967EE194089397D-COMP-BASE-001-PKG-4;EV-SR-BL-8967EE194089397D-COMP-BASE-001-EP-5,LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-BASE-0;LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-REC-1;LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-RECID-2;LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-COMP-3;LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-PKG-4;LIN-EV-SR-BL-8967EE194089397D-COMP-BASE-001-EP-5,Closed — Valid with Conditions
SR-BL-8967EE194089397D-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,COMP-CONS-001,Conservative,Staffing Coverage Adjustment,BL-8967EE194089397D,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,,,staffing-default,"{""additional_staff_count"": 1.0, ""temporary_staff_count"": 1.0, ""staff_reassignment_count"": 0.0, ""uncovered_shift_reduction_pct"": 0.0, ""intervention_duration_days"": 7.0}",Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-8967EE194089397D-COMP-CONS-001-BASE-0;EV-SR-BL-8967EE194089397D-COMP-CONS-001-REC-1;EV-SR-BL-8967EE194089397D-COMP-CONS-001-RECID-2;EV-SR-BL-8967EE194089397D-COMP-CONS-001-COMP-3;EV-SR-BL-8967EE194089397D-COMP-CONS-001-PKG-4;EV-SR-BL-8967EE194089397D-COMP-CONS-001-EP-5,LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-BASE-0;LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-REC-1;LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-RECID-2;LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-COMP-3;LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-PKG-4;LIN-EV-SR-BL-8967EE194089397D-COMP-CONS-001-EP-5,Closed — Valid with Conditions
SR-BL-8967EE194089397D-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,COMP-EXP-001,Expected,Staffing Coverage Adjustment,BL-8967EE194089397D,kpi_001,Completed,Low,Not Confirmed,No Contradiction,False,Staffing coverage capped at 100.0%.,,staffing-default,"{""additional_staff_count"": 2.0, ""temporary_staff_count"": 2.0, ""staff_reassignment_count"": 1.0, ""uncovered_shift_reduction_pct"": 10.0, ""intervention_duration_days"": 14.0}",Valid with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Benefit,Sensitive to Assumption Intensity,,Possible Cross-KPI Displacement,EV-SR-BL-8967EE194089397D-COMP-EXP-001-BASE-0;EV-SR-BL-8967EE194089397D-COMP-EXP-001-REC-1;EV-SR-BL-8967EE194089397D-COMP-EXP-001-RECID-2;EV-SR-BL-8967EE194089397D-COMP-EXP-001-COMP-3;EV-SR-BL-8967EE194089397D-COMP-EXP-001-PKG-4;EV-SR-BL-8967EE194089397D-COMP-EXP-001-EP-5,LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-BASE-0;LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-REC-1;LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-RECID-2;LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-COMP-3;LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-PKG-4;LIN-EV-SR-BL-8967EE194089397D-COMP-EXP-001-EP-5,Closed — Valid with Conditions
