contract_record_id,decision_package_id,approval_package_id,contract_name,required_fields,contract_status,governance_note
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-DC-executive_overview_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,executive_overview_card,"decision_scorecard_id,hospital,department,dominant_kpi,risk_tier,urgency,decision_readiness,top_warning,top_action,reporting_date",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-DC-risk_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,risk_card,"risk_score,risk_tier,threshold_status,trend_direction,sustained_movement_flag,breach_status,watch_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-DC-recommendation_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,recommendation_card,"representative_recommendation,recommendation_readiness,recommendation_confirmation_required,recommendation_warning",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-DC-scenario_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,scenario_card,"comparator_completeness,comparator_consistency,scenario_readiness,scenario_confidence,tradeoff_summary,displacement_summary",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-DC-financial_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,financial_card,"cost_completeness,central_financial_estimate,lower_financial_estimate,upper_financial_estimate,financial_confidence,financial_readiness,affordability_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-DC-governance_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,governance_card,"causality_status,contradiction_warning,provisional_warning,required_validation,governance_burden_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-DC-management_action_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,management_action_card,"permitted_next_action,blocking_condition,top_management_question,approval_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-DC-executive_overview_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,executive_overview_card,"decision_scorecard_id,hospital,department,dominant_kpi,risk_tier,urgency,decision_readiness,top_warning,top_action,reporting_date",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-DC-risk_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,risk_card,"risk_score,risk_tier,threshold_status,trend_direction,sustained_movement_flag,breach_status,watch_status",Active,Streamlit-ready contract. No UI generated in this step.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-DC-recommendation_card,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,recommendation_card,"representative_recommendation,recommendation_readiness,recommendation_confirmation_required,recommendation_warning",Active,Streamlit-ready contract. No UI generated in this step.
