explanation_id,decision_readiness_id,decision_scorecard_id,decision_package_id,current_readiness,why_assigned,main_blocking_condition,secondary_conditions,what_must_happen_next,who_is_responsible,permitted_management_action,what_status_does_not_mean,full_explanation,governance_note
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Requires Lineage Completion, Source-to-decision lineage is incomplete or orphan references exist.,Requires Lineage Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Lineage Completion. Source-to-decision lineage is incomplete or orphan references exist. The decision record cannot be fully traced without completing lineage. Main blocking condition: Requires Lineage Completion. Resolve Requires Lineage Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Requires Baseline Validation," The baseline is missing, stale, inconsistent, or not representative.",Requires Baseline Validation,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Requires Baseline Validation. The baseline is missing, stale, inconsistent, or not representative. Baseline validation status is blocking further progression. A valid baseline must be established before management review. Main blocking condition: Requires Baseline Validation. Resolve Requires Baseline Validation before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Requires Evidence Completion, Required evidence references are missing or applicable analytical phases are not covered.,Requires Evidence Completion,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Requires Evidence Completion. Required evidence references are missing or applicable analytical phases are not covered. Evidence completeness is insufficient for management review. Main blocking condition: Requires Evidence Completion. Resolve Requires Evidence Completion before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Ready for Integrated Management Review, This package has passed all mandatory gates and is ready for management review.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,"Current readiness: Ready for Integrated Management Review. This package has passed all mandatory gates and is ready for management review. Core risk, recommendation, scenario, and financial information is available. No absolute exclusion applies. Management can review the options and confirm specified matters. Management review may proceed. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.",Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
EXP-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Ready with Conditions, This package is complete enough for management review with non-blocking conditions remaining.,None,See secondary condition register,See transition register,See responsible role register,Review and validate; no automatic decision,This is not an approval or recommendation,Current readiness: Ready with Conditions. This package is complete enough for management review with non-blocking conditions remaining. Core information is available but some warnings or provisional matters require attention. Management can review the options but must confirm specified matters. Resolve Ready with Conditions before readiness can advance. Responsible party varies by condition; see responsible role register. Permitted action: review and validate; no automatic decision. This classification supports management routing and does not constitute approval.,Explanation supports routing only
