decision_action_routing_id,decision_package_id,action_id,action_name,action_eligibility_status,action_reason,prerequisite_count,blocking_condition_count,audit_required,management_selection_required,readiness_status,blocking_gate_affected
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A001,Review Integrated Decision Package,Blocked,Governed eligibility for Requires Lineage Completion,1,1,True,True,Requires Lineage Completion,Lineage Gate
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A002,Compare Scenario Options,Not Applicable,No eligibility rule defined for Compare Scenario Options under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A003,Validate Assumptions,Not Applicable,No eligibility rule defined for Validate Assumptions under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A004,Validate Baseline,Not Applicable,No eligibility rule defined for Validate Baseline under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A005,Validate Financial Inputs,Not Applicable,No eligibility rule defined for Validate Financial Inputs under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A006,Validate Benefit Assumptions,Not Applicable,No eligibility rule defined for Validate Benefit Assumptions under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A007,Provide Budget Information,Not Applicable,No eligibility rule defined for Provide Budget Information under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A008,Request Additional Scenario,Not Applicable,No eligibility rule defined for Request Additional Scenario under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A009,Request Stakeholder Review,Not Applicable,No eligibility rule defined for Request Stakeholder Review under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A010,Proceed to Limited-Trial Consideration,Not Applicable,No eligibility rule defined for Proceed to Limited-Trial Consideration under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A011,Continue Monitoring,Not Applicable,No eligibility rule defined for Continue Monitoring under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A012,Escalate for Immediate Management Attention,Not Applicable,No eligibility rule defined for Escalate for Immediate Management Attention under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A013,Defer Decision,Allowed,Governed eligibility for Requires Lineage Completion,0,1,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A014,Reject Decision Use,Not Applicable,No eligibility rule defined for Reject Decision Use under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A015,Request Evidence Completion,Allowed,Governed eligibility for Requires Lineage Completion,0,1,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A016,Request Lineage Completion,Allowed,Governed eligibility for Requires Lineage Completion,0,1,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A017,Route to Non-Quantitative Review,Not Applicable,No eligibility rule defined for Route to Non-Quantitative Review under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,A018,No Action - Monitoring Continues,Not Applicable,No eligibility rule defined for No Action - Monitoring Continues under Requires Lineage Completion,0,0,True,True,Requires Lineage Completion,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A001,Review Integrated Decision Package,Not Applicable,No eligibility rule defined for Review Integrated Decision Package under Requires Baseline Validation,0,0,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A002,Compare Scenario Options,Blocked,Governed eligibility for Requires Baseline Validation,1,1,True,True,Requires Baseline Validation,Baseline Gate
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A003,Validate Assumptions,Not Applicable,No eligibility rule defined for Validate Assumptions under Requires Baseline Validation,0,0,True,True,Requires Baseline Validation,
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,A004,Validate Baseline,Allowed,Governed eligibility for Requires Baseline Validation,0,1,True,True,Requires Baseline Validation,
