configuration_id,action_id,action_name,action_category,action_description,display_order,active_flag,version,approval_status,provisional_flag,governance_note
ACTCAT-001,A001,Review Integrated Decision Package,Management Review,Review the complete integrated decision package including all scenarios and recommendations,1,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-002,A002,Compare Scenario Options,Analytical Review,Compare available scenario options and their implications,2,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-003,A003,Validate Assumptions,Validation,Validate underlying assumptions used in decision analysis,3,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-004,A004,Validate Baseline,Validation,Validate baseline data and assumptions,4,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-005,A005,Validate Financial Inputs,Financial Review,Validate financial inputs and cost assumptions,5,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-006,A006,Validate Benefit Assumptions,Financial Review,Validate benefit assumptions and avoided-cost claims,6,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-007,A007,Provide Budget Information,Financial Review,Provide budget information and affordability assessment,7,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-008,A008,Request Additional Scenario,Analytical Review,Request additional scenario analysis,8,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-009,A009,Request Stakeholder Review,Stakeholder Engagement,Request stakeholder review and confirmation,9,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-010,A010,Proceed to Limited-Trial Consideration,Management Decision,Consider limited trial of intervention,10,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-011,A011,Continue Monitoring,Monitoring,Continue monitoring current situation,11,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-012,A012,Escalate for Immediate Management Attention,Escalation,Escalate for immediate management attention,12,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-013,A013,Defer Decision,Management Decision,Defer decision pending further information,13,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-014,A014,Reject Decision Use,Management Decision,Reject use of this decision package,14,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-015,A015,Request Evidence Completion,Evidence,Request completion of evidence requirements,15,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-016,A016,Request Lineage Completion,Evidence,Request completion of lineage requirements,16,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-017,A017,Route to Non-Quantitative Review,Special Review,Route to non-quantitative review process,17,True,1.0,Draft Analytical Configuration,True,Governed management action
ACTCAT-018,A018,No Action - Monitoring Continues,Monitoring,No action required monitoring continues,18,True,1.0,Draft Analytical Configuration,True,Governed management action
