queue_assignment_id,decision_action_routing_id,decision_package_id,primary_queue,secondary_queue,queue_reason,queue_priority,responsible_role,escalation_status,blocking_condition_count,pending_prerequisite_count,current_status,governance_note
QUE-29F9CB02,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Lineage Completion Queue,,Routed based on readiness status: Requires Lineage Completion,Medium,,Pending Routing,1,1,Pending Routing,Prototype default - Pending Routing
QUE-A151B2A5,DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Baseline Validation Queue,,Routed based on readiness status: Requires Baseline Validation,Medium,,Pending Routing,2,7,Pending Routing,Prototype default - Pending Routing
QUE-7471B387,DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-6EA1B0E0,DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-D14FDD25,DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-3C106551,DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Evidence Completion Queue,,Routed based on readiness status: Requires Evidence Completion,Medium,,Pending Routing,1,1,Pending Routing,Prototype default - Pending Routing
QUE-3C1657B9,DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-7697F34B,DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-74D52093,DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-67757AFA,DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-359A26C9,DAR-0CCD9938,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Additional Scenario Queue,,Routed based on readiness status: Requires Additional Scenario Analysis,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-3AB5E488,DAR-D040CDC1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-1B4EA0EB,DAR-79C9542C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-4805DBCF,DAR-6207FB56,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-F6C75736,DAR-C0188C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Evidence Completion Queue,,Routed based on readiness status: Requires Evidence Completion,Medium,,Pending Routing,1,1,Pending Routing,Prototype default - Pending Routing
QUE-E0D12CDB,DAR-7DE12342,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-A342FF4C,DAR-0065947D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Evidence Completion Queue,,Routed based on readiness status: Requires Evidence Completion,Medium,,Pending Routing,1,1,Pending Routing,Prototype default - Pending Routing
QUE-D2644F89,DAR-CB286D43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Lineage Completion Queue,,Routed based on readiness status: Requires Lineage Completion,Medium,,Pending Routing,1,1,Pending Routing,Prototype default - Pending Routing
QUE-5C6BABC3,DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-F376E5CF,DAR-FA923347,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Additional Scenario Queue,,Routed based on readiness status: Requires Additional Scenario Analysis,Medium,,Pending Routing,1,6,Pending Routing,Prototype default - Pending Routing
QUE-7D4A5719,DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-6A8834A9,DAR-D4026F38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-C4BFA9AC,DAR-C4E6E240,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-95ABF9F9,DAR-F2384F54,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Integrated Management Review Queue,,Routed based on readiness status: Ready for Integrated Management Review,High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-7DBEFE5F,DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
QUE-7BA5E460,DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Conditional Review Queue,Integrated Management Review Queue,Routed based on readiness status: Ready with Conditions,Medium-High,,Pending Routing,0,6,Pending Routing,Prototype default - Pending Routing
