decision_package_id,monitoring_kpis,monitoring_responsible_role,escalation_required,escalation_reason,escalation_role,escalation_target_role,escalation_deadline,escalation_classification
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,,,True,"Critical priority, Immediate Review urgency, or executive/clinical approval level required",Hospital COO,Hospital COO / General Manager,2026-07-31,Executive Escalation Required
