decision_action_routing_id,decision_package_id,final_readiness_status,action_routing_explanation,primary_permitted_action,main_blocking_action,main_blocking_reason,responsible_role,escalation_required,escalation_status,governance_note
DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Requires Lineage Completion,Current readiness: Requires Lineage Completion. Primary permitted action: Request Lineage Completion. This action is permitted because the readiness status governs allowed actions. Main blocking action: Review Integrated Decision Package. Reason: Action blocked due to lineage deficiency. Responsible role: Data Owner. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Request Lineage Completion,Review Integrated Decision Package,Action blocked due to lineage deficiency,Data Owner,True,Standard Review,Explanation for management workflow support only
DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Requires Baseline Validation,Current readiness: Requires Baseline Validation. Primary permitted action: Validate Baseline. This action is permitted because the readiness status governs allowed actions. Main blocking action: Compare Scenario Options. Reason: Action blocked due to invalid baseline. Responsible role: Data Owner. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Validate Baseline,Compare Scenario Options,Action blocked due to invalid baseline,Data Owner,True,Standard Review,Explanation for management workflow support only
DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Ready with Conditions,Current readiness: Ready with Conditions. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Priority Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Priority Review,Explanation for management workflow support only
DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Requires Evidence Completion,Current readiness: Requires Evidence Completion. Primary permitted action: Request Evidence Completion. This action is permitted because the readiness status governs allowed actions. Main blocking action: Review Integrated Decision Package. Reason: Action blocked due to evidence deficiency. Responsible role: Data Owner. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Request Evidence Completion,Review Integrated Decision Package,Action blocked due to evidence deficiency,Data Owner,True,Standard Review,Explanation for management workflow support only
DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Ready for Integrated Management Review,Current readiness: Ready for Integrated Management Review. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Standard Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Standard Review,Explanation for management workflow support only
DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Ready with Conditions,Current readiness: Ready with Conditions. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Priority Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Priority Review,Explanation for management workflow support only
DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Ready with Conditions,Current readiness: Ready with Conditions. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Priority Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Priority Review,Explanation for management workflow support only
DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Ready with Conditions,Current readiness: Ready with Conditions. Primary permitted action: Review Integrated Decision Package. This action is permitted because the readiness status governs allowed actions. Main blocking action: None. Reason: No blocking conditions. Responsible role: Hospital COO / General Manager. Escalation requirement: Yes (Priority Review). What must happen next: Management review of primary permitted action and conditions. What this routing does not mean: No action is selected or approved. This routing supports management workflow and does not constitute action selection or approval.,Review Integrated Decision Package,None,No blocking conditions,Hospital COO / General Manager,True,Priority Review,Explanation for management workflow support only
