approval_package_id,episode_id,recommendation_id,case_id,recommendation_role,final_review_outcome,approval_eligibility,exclusion_reason,required_confirmation,scenario_review_required,financial_review_required,contradiction_severity,provisional_recommendation_flag,evidence_pack_id
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,REC-CASE-DEPT-ADM-20260108-OPT1,CASE-DEPT-ADM-20260108,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-411B538755D1
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,REC-CASE-DEPT-ADM-20260116-OPT1,CASE-DEPT-ADM-20260116,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-4A0348915583
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,REC-CASE-DEPT-ADM-20260209-OPT1,CASE-DEPT-ADM-20260209,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-7E29499C1B11
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,REC-CASE-DEPT-ADM-20260328-OPT1,CASE-DEPT-ADM-20260328,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-C160F3F6E474
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,REC-CASE-DEPT-ADM-20260329-OPT1,CASE-DEPT-ADM-20260329,Supporting,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-BD04E2D6620C
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,REC-CASE-DEPT-ADM-20260401-OPT1,CASE-DEPT-ADM-20260401,Supporting,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-51765061A080
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,REC-CASE-DEPT-ADM-20260410-OPT1,CASE-DEPT-ADM-20260410,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-E729EBDD5089
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,REC-CASE-DEPT-ADM-20260420-OPT1,CASE-DEPT-ADM-20260420,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-E450F9C5FEE7
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,REC-CASE-DEPT-ADM-20260506-OPT1,CASE-DEPT-ADM-20260506,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-9D3E2075B5E4
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,REC-CASE-DEPT-ADM-20260602-OPT1,CASE-DEPT-ADM-20260602,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-ED607B9E24B7
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,REC-CASE-DEPT-ADM-20260608-OPT1,CASE-DEPT-ADM-20260608,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-BB7D58551DEF
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,REC-CASE-DEPT-ADM-20260721-OPT1,CASE-DEPT-ADM-20260721,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-385A13750E30
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,REC-CASE-DEPT-ADM-20260726-OPT1,CASE-DEPT-ADM-20260726,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-5AF3532F52EC
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,REC-CASE-DEPT-ADM-20260822-OPT1,CASE-DEPT-ADM-20260822,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-0801165DC102
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,REC-CASE-DEPT-ADM-20261012-OPT1,CASE-DEPT-ADM-20261012,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-0966BB880D87
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,REC-CASE-DEPT-ADM-20261021-OPT1,CASE-DEPT-ADM-20261021,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-A716EF604596
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,REC-CASE-DEPT-ADM-20261127-OPT1,CASE-DEPT-ADM-20261127,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-CDEC31334F7A
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,REC-CASE-DEPT-ADM-20261129-OPT1,CASE-DEPT-ADM-20261129,Supporting,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-CA81A6B08E75
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,REC-CASE-DEPT-ADM-20261205-OPT1,CASE-DEPT-ADM-20261205,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-612128389E5D
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,REC-CASE-DEPT-ADM-20261206-OPT1,CASE-DEPT-ADM-20261206,Supporting,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-6F879AB2FB5A
PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,REC-CASE-DEPT-ADM-20261220-OPT1,CASE-DEPT-ADM-20261220,Representative,Valid with Conditions,Eligible,,"Was there a known staffing shortage, unplanned leave event, or reassignment affecting this department during the reporting period?",True,True,Material,False,DEP-EP-A4DCFED3E214
