scenario_run_id,approval_package_id,episode_id,scenario_template_id,comparator_id,comparator_type,scenario_family,final_scenario_confidence,causality_status,baseline_status,baseline_validation_status,numerical_validation_status,assumption_challenge_status,governance_compliance_status,overall_validation_status,validation_timestamp,revision_required,revision_type,revision_timestamp
SR-BL-868B3BEA99B84FFE-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,-BLOCKED,Baseline,No-Action or Baseline Comparator,Insufficient Evidence,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-BASE-001,Baseline,Staffing Coverage Adjustment,Low,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-CONS-001,Conservative,Staffing Coverage Adjustment,Low,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-EXP-001,Expected,Staffing Coverage Adjustment,Low,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-HIGH-001,Higher Intensity,Staffing Coverage Adjustment,Low,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
SR-BL-7248F57B557B2D88-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Insufficient Evidence,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
SR-BL-FA960D624BB4A356-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,-BLOCKED,Baseline,No-Action or Baseline Comparator,Insufficient Evidence,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
SR-BL-8967EE194089397D-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,COMP-BASE-001,Baseline,Staffing Coverage Adjustment,Low,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
SR-BL-8967EE194089397D-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,COMP-CONS-001,Conservative,Staffing Coverage Adjustment,Low,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
SR-BL-8967EE194089397D-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,COMP-EXP-001,Expected,Staffing Coverage Adjustment,Low,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
SR-BL-8967EE194089397D-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,COMP-HIGH-001,Higher Intensity,Staffing Coverage Adjustment,Low,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
SR-BL-39B86971C6CEAA6C-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Insufficient Evidence,Not Confirmed,Available with Conditions,Valid,Valid with Conditions,Passed with Flags,Compliant with Flags,Valid with Conditions,2026-08-02T17:46:55.024237,True,Validation Flags,2026-08-02T17:46:55.029001
