integrated_management_brief_id,decision_package_id,provisional_warning,contradiction_warning,stakeholder_validation_required,assumption_validation_required,baseline_validation_required,financial_validation_required,governance_burden_status,evidence_limitation,lineage_limitation,audit_limitation,overall_management_limitation
IMB-6779686B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-13EA9939,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-00BBC43E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-CB403676,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,False; False; False; False; False; False,,True,False,False,False,,,,,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
