profile_id,scenario_run_id,approval_package_id,episode_id,analytical_trade_off_index,index_components_json,index_weights_json,trade_off_band,trade_off_rationale
TP-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,55.13,"{""primary_kpi_impact"": 0.0, ""confidence"": 50, ""contradiction"": 100, ""baseline_completeness"": 100, ""assumption_extremity"": 100.0, ""supporting_kpi"": 25, ""displacement_risk"": 100}","{""primary_kpi_impact"": 0.2, ""supporting_kpi"": 0.1, ""confidence"": 0.15, ""contradiction"": 0.1, ""baseline_completeness"": 0.08, ""assumption_extremity"": 0.07, ""displacement_risk"": 0.08}",Balanced Trade-Off,Analytical Trade-Off Index = 55.1 based on 7 criteria
TP-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,55.7,"{""primary_kpi_impact"": 22.2222222222222, ""confidence"": 50, ""contradiction"": 100, ""baseline_completeness"": 100, ""assumption_extremity"": 100.0, ""supporting_kpi"": 25, ""displacement_risk"": 50}","{""primary_kpi_impact"": 0.2, ""supporting_kpi"": 0.1, ""confidence"": 0.15, ""contradiction"": 0.1, ""baseline_completeness"": 0.08, ""assumption_extremity"": 0.07, ""displacement_risk"": 0.08}",Balanced Trade-Off,Analytical Trade-Off Index = 55.7 based on 7 criteria
TP-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,58.55,"{""primary_kpi_impact"": 33.333333333333314, ""confidence"": 50, ""contradiction"": 100, ""baseline_completeness"": 100, ""assumption_extremity"": 100.0, ""supporting_kpi"": 25, ""displacement_risk"": 50}","{""primary_kpi_impact"": 0.2, ""supporting_kpi"": 0.1, ""confidence"": 0.15, ""contradiction"": 0.1, ""baseline_completeness"": 0.08, ""assumption_extremity"": 0.07, ""displacement_risk"": 0.08}",Balanced Trade-Off,Analytical Trade-Off Index = 58.5 based on 7 criteria
TP-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,58.55,"{""primary_kpi_impact"": 33.333333333333314, ""confidence"": 50, ""contradiction"": 100, ""baseline_completeness"": 100, ""assumption_extremity"": 100.0, ""supporting_kpi"": 25, ""displacement_risk"": 50}","{""primary_kpi_impact"": 0.2, ""supporting_kpi"": 0.1, ""confidence"": 0.15, ""contradiction"": 0.1, ""baseline_completeness"": 0.08, ""assumption_extremity"": 0.07, ""displacement_risk"": 0.08}",Balanced Trade-Off,Analytical Trade-Off Index = 58.5 based on 7 criteria
TP-SR-BL-8967EE194089397D-COMP-BASE-001,SR-BL-8967EE194089397D-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,55.13,"{""primary_kpi_impact"": 0.0, ""confidence"": 50, ""contradiction"": 100, ""baseline_completeness"": 100, ""assumption_extremity"": 100.0, ""supporting_kpi"": 25, ""displacement_risk"": 100}","{""primary_kpi_impact"": 0.2, ""supporting_kpi"": 0.1, ""confidence"": 0.15, ""contradiction"": 0.1, ""baseline_completeness"": 0.08, ""assumption_extremity"": 0.07, ""displacement_risk"": 0.08}",Balanced Trade-Off,Analytical Trade-Off Index = 55.1 based on 7 criteria
TP-SR-BL-8967EE194089397D-COMP-CONS-001,SR-BL-8967EE194089397D-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,56.84,"{""primary_kpi_impact"": 26.666666666666657, ""confidence"": 50, ""contradiction"": 100, ""baseline_completeness"": 100, ""assumption_extremity"": 100.0, ""supporting_kpi"": 25, ""displacement_risk"": 50}","{""primary_kpi_impact"": 0.2, ""supporting_kpi"": 0.1, ""confidence"": 0.15, ""contradiction"": 0.1, ""baseline_completeness"": 0.08, ""assumption_extremity"": 0.07, ""displacement_risk"": 0.08}",Balanced Trade-Off,Analytical Trade-Off Index = 56.8 based on 7 criteria
TP-SR-BL-8967EE194089397D-COMP-EXP-001,SR-BL-8967EE194089397D-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,60.26,"{""primary_kpi_impact"": 40.0, ""confidence"": 50, ""contradiction"": 100, ""baseline_completeness"": 100, ""assumption_extremity"": 100.0, ""supporting_kpi"": 25, ""displacement_risk"": 50}","{""primary_kpi_impact"": 0.2, ""supporting_kpi"": 0.1, ""confidence"": 0.15, ""contradiction"": 0.1, ""baseline_completeness"": 0.08, ""assumption_extremity"": 0.07, ""displacement_risk"": 0.08}",Balanced Trade-Off,Analytical Trade-Off Index = 60.3 based on 7 criteria
TP-SR-BL-8967EE194089397D-COMP-HIGH-001,SR-BL-8967EE194089397D-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,60.26,"{""primary_kpi_impact"": 40.0, ""confidence"": 50, ""contradiction"": 100, ""baseline_completeness"": 100, ""assumption_extremity"": 100.0, ""supporting_kpi"": 25, ""displacement_risk"": 50}","{""primary_kpi_impact"": 0.2, ""supporting_kpi"": 0.1, ""confidence"": 0.15, ""contradiction"": 0.1, ""baseline_completeness"": 0.08, ""assumption_extremity"": 0.07, ""displacement_risk"": 0.08}",Balanced Trade-Off,Analytical Trade-Off Index = 60.3 based on 7 criteria
TP-SR-BL-DC41AA9F364EC81B-COMP-BASE-001,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,55.13,"{""primary_kpi_impact"": 0.0, ""confidence"": 50, ""contradiction"": 100, ""baseline_completeness"": 100, ""assumption_extremity"": 100.0, ""supporting_kpi"": 25, ""displacement_risk"": 100}","{""primary_kpi_impact"": 0.2, ""supporting_kpi"": 0.1, ""confidence"": 0.15, ""contradiction"": 0.1, ""baseline_completeness"": 0.08, ""assumption_extremity"": 0.07, ""displacement_risk"": 0.08}",Balanced Trade-Off,Analytical Trade-Off Index = 55.1 based on 7 criteria
TP-SR-BL-DC41AA9F364EC81B-COMP-CONS-001,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,55.7,"{""primary_kpi_impact"": 22.2222222222222, ""confidence"": 50, ""contradiction"": 100, ""baseline_completeness"": 100, ""assumption_extremity"": 100.0, ""supporting_kpi"": 25, ""displacement_risk"": 50}","{""primary_kpi_impact"": 0.2, ""supporting_kpi"": 0.1, ""confidence"": 0.15, ""contradiction"": 0.1, ""baseline_completeness"": 0.08, ""assumption_extremity"": 0.07, ""displacement_risk"": 0.08}",Balanced Trade-Off,Analytical Trade-Off Index = 55.7 based on 7 criteria
