queue_id,queue_name,readiness_criteria,attention_criteria,display_order
Q_01,Integrated Management Review Queue,Ready for Integrated Management Review,Standard Management Review,1
Q_02,Conditional Review Queue,Ready with Conditions,Conditional Review,2
Q_03,Assumption Validation Queue,Requires Assumption Validation,Conditional Review,3
Q_04,Financial Input Queue,Requires Financial Input,Conditional Review,4
Q_05,Budget Information Queue,Requires Budget Information,Conditional Review,5
Q_06,Stakeholder Validation Queue,Requires Stakeholder Validation,Conditional Review,6
Q_07,Additional Scenario Queue,Requires Additional Scenario Analysis,Conditional Review,7
Q_08,Monitoring Queue,Monitoring Only,Standard Management Review,8
Q_09,Non-Quantitative Review Queue,Non-Quantitative,Conditional Review,9
Q_10,Evidence Completion Queue,Requires Evidence Completion,Conditional Review,10
Q_11,Lineage Completion Queue,Requires Lineage Completion,Conditional Review,11
