hospital,department,department_code,year,month,dominant_kpi_id,dominant_kpi_name,card_value,management_value,card_status,management_status,action_id,action_text,source_package_id,package_context_match,management_values_match,validation_note
HOSP-001,All Departments,ALL,2026,1,kpi_003,Bed Occupancy Rate,83.0,83.0,Warning,Warning,ACTION-kpi_003-Amber,High bed occupancy. Review discharge coordination; assess ward balancing; monitor elective scheduling.,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260131,True,True,OK
HOSP-001,All Departments,ALL,2026,2,kpi_003,Bed Occupancy Rate,83.4,83.4,Warning,Warning,ACTION-kpi_003-Amber,High bed occupancy. Review discharge coordination; assess ward balancing; monitor elective scheduling.,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260227,True,True,OK
HOSP-001,All Departments,ALL,2026,3,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260331,True,True,OK
HOSP-001,All Departments,ALL,2026,4,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260430,True,True,OK
HOSP-001,All Departments,ALL,2026,5,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,True,True,OK
HOSP-001,All Departments,ALL,2026,6,kpi_003,Bed Occupancy Rate,104.9,104.9,Critical,Critical,ACTION-kpi_003-Red,Critical bed occupancy. Coordinate discharge planning; escalate capacity; balance ward loads; review elective admissions.,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260630,True,True,OK
HOSP-001,All Departments,ALL,2026,7,kpi_003,Bed Occupancy Rate,104.9,104.9,Critical,Critical,ACTION-kpi_003-Red,Critical bed occupancy. Coordinate discharge planning; escalate capacity; balance ward loads; review elective admissions.,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260731,True,True,OK
HOSP-001,Emergency Department,DEPT-ED,2026,1,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,True,True,OK
HOSP-001,Emergency Department,DEPT-ED,2026,2,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,True,True,OK
HOSP-001,Emergency Department,DEPT-ED,2026,3,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260330,True,True,OK
HOSP-001,Emergency Department,DEPT-ED,2026,4,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,True,True,OK
HOSP-001,Emergency Department,DEPT-ED,2026,5,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,True,True,OK
HOSP-001,Emergency Department,DEPT-ED,2026,6,kpi_004,Average Patient Waiting Time,54.2,54.2,Critical,Critical,ACTION-kpi_004-Red,Critical waiting times. Redesign queue flow; review triage; adjust demand-capacity balance; expand service slots.,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,True,True,OK
HOSP-001,Emergency Department,DEPT-ED,2026,7,kpi_004,Average Patient Waiting Time,54.5,54.5,Critical,Critical,ACTION-kpi_004-Red,Critical waiting times. Redesign queue flow; review triage; adjust demand-capacity balance; expand service slots.,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260731,True,True,OK
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,1,kpi_003,Bed Occupancy Rate,81.6,81.6,Critical,Critical,ACTION-kpi_003-Red,Critical bed occupancy. Coordinate discharge planning; escalate capacity; balance ward loads; review elective admissions.,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260128,True,True,OK
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,2,kpi_003,Bed Occupancy Rate,82.3,82.3,Warning,Warning,ACTION-kpi_003-Amber,High bed occupancy. Review discharge coordination; assess ward balancing; monitor elective scheduling.,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260227,True,True,OK
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,3,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260326,True,True,OK
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,4,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260429,True,True,OK
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,5,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260530,True,True,OK
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,6,kpi_003,Bed Occupancy Rate,104.6,104.6,Warning,Warning,ACTION-kpi_003-Amber,High bed occupancy. Review discharge coordination; assess ward balancing; monitor elective scheduling.,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260630,True,True,OK
HOSP-001,Intensive Care Unit,DEPT-ICU,2026,7,kpi_003,Bed Occupancy Rate,104.5,104.5,Warning,Warning,ACTION-kpi_003-Amber,High bed occupancy. Review discharge coordination; assess ward balancing; monitor elective scheduling.,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_006-20260730,True,True,OK
HOSP-001,Medical Ward,DEPT-MED,2026,1,kpi_003,Bed Occupancy Rate,84.8,84.8,Warning,Warning,ACTION-kpi_003-Amber,High bed occupancy. Review discharge coordination; assess ward balancing; monitor elective scheduling.,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260128,True,True,OK
HOSP-001,Medical Ward,DEPT-MED,2026,2,kpi_003,Bed Occupancy Rate,83.0,83.0,Warning,Warning,ACTION-kpi_003-Amber,High bed occupancy. Review discharge coordination; assess ward balancing; monitor elective scheduling.,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260224,True,True,OK
HOSP-001,Medical Ward,DEPT-MED,2026,3,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260330,True,True,OK
HOSP-001,Medical Ward,DEPT-MED,2026,4,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260429,True,True,OK
HOSP-001,Medical Ward,DEPT-MED,2026,5,kpi_003,Bed Occupancy Rate,100.5,100.5,Warning,Warning,ACTION-kpi_003-Amber,High bed occupancy. Review discharge coordination; assess ward balancing; monitor elective scheduling.,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260527,True,True,OK
HOSP-001,Medical Ward,DEPT-MED,2026,6,kpi_003,Bed Occupancy Rate,105.0,105.0,Critical,Critical,ACTION-kpi_003-Red,Critical bed occupancy. Coordinate discharge planning; escalate capacity; balance ward loads; review elective admissions.,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_006-20260629,True,True,OK
HOSP-001,Medical Ward,DEPT-MED,2026,7,kpi_003,Bed Occupancy Rate,105.8,105.8,Critical,Critical,ACTION-kpi_003-Red,Critical bed occupancy. Coordinate discharge planning; escalate capacity; balance ward loads; review elective admissions.,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_003-20260731,True,True,OK
HOSP-001,Admissions,DEPT-ADM,2026,1,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,True,True,OK
HOSP-001,Admissions,DEPT-ADM,2026,2,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,True,True,OK
HOSP-001,Admissions,DEPT-ADM,2026,3,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,True,True,OK
HOSP-001,Admissions,DEPT-ADM,2026,4,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,True,True,OK
HOSP-001,Admissions,DEPT-ADM,2026,5,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,True,True,OK
HOSP-001,Admissions,DEPT-ADM,2026,6,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,True,True,OK
HOSP-001,Admissions,DEPT-ADM,2026,7,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,True,True,OK
HOSP-001,Diagnostics,DEPT-DIAG,2026,1,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,True,True,OK
HOSP-001,Diagnostics,DEPT-DIAG,2026,2,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,True,True,OK
HOSP-001,Diagnostics,DEPT-DIAG,2026,3,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,True,True,OK
HOSP-001,Diagnostics,DEPT-DIAG,2026,4,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,True,True,OK
HOSP-001,Diagnostics,DEPT-DIAG,2026,5,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,True,True,OK
HOSP-001,Diagnostics,DEPT-DIAG,2026,6,kpi_004,Average Patient Waiting Time,54.4,54.4,Critical,Critical,ACTION-kpi_004-Red,Critical waiting times. Redesign queue flow; review triage; adjust demand-capacity balance; expand service slots.,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,True,True,OK
HOSP-001,Diagnostics,DEPT-DIAG,2026,7,kpi_004,Average Patient Waiting Time,55.0,55.0,Critical,Critical,ACTION-kpi_004-Red,Critical waiting times. Redesign queue flow; review triage; adjust demand-capacity balance; expand service slots.,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,True,True,OK
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,1,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260129,True,True,OK
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,2,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_006-20260211,True,True,OK
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,3,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260331,True,True,OK
HOSP-001,Outpatient Clinic,DEPT-OPC,2026,4,,,,,,STABLE,,No material operational breach. Continue routine monitoring.,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_004-20260430,True,True,OK
