mapping_id,scenario_family,assumption_name,financial_input_id,cost_component_name,formula_expression,unit,applicable_comparator_types,one_time_or_recurring,direct_or_indirect,configuration_version,approval_status,governance_note
CDM-001,Staffing Coverage Adjustment,additional_staff_count,FIN-TEMP-STAFF-DAY,Additional Staff Cost,additional_staff_count * temporary_staff_daily_rate * intervention_duration_days,MYR,"Conservative,Expected,Higher Intensity",Recurring,Direct,v1.0-draft,Draft Analytical Configuration,Assumes each additional staff member works full days during intervention
CDM-002,Staffing Coverage Adjustment,temporary_staff_count,FIN-TEMP-STAFF-DAY,Temporary Staff Cost,temporary_staff_count * temporary_staff_daily_rate * intervention_duration_days,MYR,"Conservative,Expected,Higher Intensity",Recurring,Direct,v1.0-draft,Draft Analytical Configuration,Temporary staff coverage cost for full intervention period
CDM-003,Staffing Coverage Adjustment,uncovered_shift_reduction_pct,FIN-OVERTIME-HOUR,Avoided Overtime Value,uncovered_shift_reduction_pct * baseline_overtime_hours * overtime_rate * intervention_duration_days,MYR,"Conservative,Expected,Higher Intensity",Recurring,Direct,v1.0-draft,Draft Analytical Configuration,Value of reduced overtime due to better coverage
CDM-004,Staffing Coverage Adjustment,intervention_duration_days,FIN-ADD-SHIFT,Additional Shift Cost,additional_shift_count * cost_per_shift,MYR,"Conservative,Expected,Higher Intensity",Recurring,Direct,v1.0-draft,Draft Analytical Configuration,Additional shift cost if applicable
CDM-005,Absenteeism Contingency,replacement_coverage_pct,FIN-TEMP-STAFF-DAY,Replacement Coverage Cost,replacement_coverage_pct * temporary_staff_count * temporary_staff_daily_rate * intervention_duration_days,MYR,"Conservative,Expected,Higher Intensity",Recurring,Direct,v1.0-draft,Draft Analytical Configuration,Cost of covering absent staff through temporary replacement
CDM-006,Absenteeism Contingency,contingency_roster_activation_pct,FIN-OVERTIME-HOUR,Contingency Overtime Cost,contingency_roster_activation_pct * additional_overtime_hours * overtime_rate * intervention_duration_days,MYR,"Conservative,Expected,Higher Intensity",Recurring,Direct,v1.0-draft,Draft Analytical Configuration,Overtime cost from contingency roster activation
CDM-007,Absenteeism Contingency,absence_duration_reduction_days,FIN-AVOID-TEMP-DAY,Avoided Replacement Cost,absence_duration_reduction_days * temporary_staff_daily_rate,MYR,"Conservative,Expected,Higher Intensity",One-time,Direct,v1.0-draft,Draft Analytical Configuration,Avoided temporary coverage cost from reduced absence duration
CDM-008,Patient-Flow and Waiting-Time Adjustment,service_capacity_change_pct,FIN-TEMP-CAP-DAY,Capacity Adjustment Cost,service_capacity_change_pct * temporary_capacity_daily_cost * intervention_duration_days,MYR,"Conservative,Expected,Higher Intensity",Recurring,Direct,v1.0-draft,Draft Analytical Configuration,Cost of temporary capacity change
CDM-009,Patient-Flow and Waiting-Time Adjustment,temporary_resource_change,FIN-EXT-SVC-HOUR,External Service Cost,temporary_resource_change * external_service_hourly_rate * intervention_duration_days,MYR,"Conservative,Expected,Higher Intensity",Recurring,Direct,v1.0-draft,Draft Analytical Configuration,External service support cost
CDM-010,Patient-Flow and Waiting-Time Adjustment,throughput_change_pct,FIN-QUEUE-REDUCT-VAL,Throughput Benefit,throughput_change_pct * baseline_throughput * queue_reduction_value,MYR,"Conservative,Expected,Higher Intensity",Recurring,Direct,v1.0-draft,Draft Analytical Configuration,Operational benefit from improved throughput
CDM-011,All,intervention_duration_days,FIN-MONITOR-MONTH,Monitoring Cost,(intervention_duration_days / 30) * recurring_monitoring_monthly_cost,MYR,"Conservative,Expected,Higher Intensity",Recurring,Indirect,v1.0-draft,Draft Analytical Configuration,Pro-rated monthly monitoring cost
CDM-012,All,intervention_duration_days,FIN-IMPL-LABOUR,Implementation Labour Cost,implementation_labour_cost,MYR,"Conservative,Expected,Higher Intensity",One-time,Direct,v1.0-draft,Draft Analytical Configuration,One-time implementation labour
CDM-013,All,intervention_duration_days,FIN-PROJ-MGMT,Project Management Cost,project_management_cost,MYR,"Conservative,Expected,Higher Intensity",One-time,Indirect,v1.0-draft,Draft Analytical Configuration,One-time project management cost
CDM-014,All,intervention_duration_days,FIN-ADMIN-BURDEN,Administrative Burden Cost,(intervention_duration_days / 30) * administrative_burden_monthly_cost,MYR,"Conservative,Expected,Higher Intensity",Recurring,Indirect,v1.0-draft,Draft Analytical Configuration,Pro-rated administrative burden
