audit_explanation_id,decision_action_routing_id,decision_package_id,audit_readiness_explanation,evidence_completeness_status,lineage_completeness_status,audit_event_count,current_audit_state,missing_evidence_count,missing_lineage_count,governance_note
AEX-D3EDFE13,DAR-CF860C38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-F2A79362,DAR-23F2E917,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-C5AF0EBC,DAR-70764F11,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-21BC99E9,DAR-AE9BC4DF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-6F4D3605,DAR-3E418BED,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-99A31156,DAR-814A2C66,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-1353BBBA,DAR-F293FEE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-1447C451,DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-6379E34F,DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-2768B223,DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-CDF49772,DAR-0CCD9938,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-A2DC53DE,DAR-D040CDC1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-DD05011F,DAR-79C9542C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-DFE7ADC3,DAR-6207FB56,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-E2B016AC,DAR-C0188C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-B3981C2C,DAR-7DE12342,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-53AF94BB,DAR-0065947D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-18F6E423,DAR-CB286D43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-D93C714B,DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-76B7C60C,DAR-FA923347,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-9B63C658,DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-29AA9819,DAR-D4026F38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-C6EB2317,DAR-C4E6E240,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
AEX-07484CCA,DAR-F2384F54,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,"Evidence status: Complete (100.0% coverage). Lineage status: Complete (100.0% coverage). Audit requirements: 16 events awaiting management action. Current audit state: All audit events remain Not Executed. Missing evidence: 0 categories. Missing lineage: None - all 18 stages represented. What will be recorded when management acts: Audit event contracts are ready to capture actor, timestamp, reason, and approval reference. What has not yet occurred: No management review, action selection, or approval has taken place. This audit layer prepares traceability and does not indicate that management review, action selection, or approval has occurred.",Complete,Complete,16,Awaiting Management Action,0,0,Audit explanation for management workflow support
