configuration_id,evidence_category,evidence_category_description,source_phase,source_step,expected_per_package,display_order,active_flag,version,approval_status,provisional_flag,governance_note
EVCAT-001,Source Data Evidence,Original dataset evidence,1,1,1,1,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-002,Data Quality Evidence,Data quality and validation evidence,1,2,1,2,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-003,KPI Calculation Evidence,KPI derivation evidence,2A,3,1,3,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-004,Threshold Evidence,Threshold breach evidence,2B,4,1,4,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-005,Trend Evidence,Trend analysis evidence,2B,5,1,5,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-006,Breach Evidence,Breach event evidence,2B,6,1,6,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-007,Risk Evidence,Risk assessment evidence,2B,7,1,7,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-008,Contributing-Factor Evidence,Contributing factor analysis evidence,2B,8,1,8,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-009,Recommendation Evidence,Recommendation generation evidence,2C-1,9,1,9,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-010,Recommendation Validation Evidence,Recommendation validation evidence,2C-1,10,1,10,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-011,Scenario Baseline Evidence,Scenario baseline evidence,2C-2,11,1,11,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-012,Scenario Assumption Evidence,Scenario assumption evidence,2C-2,12,1,12,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-013,Scenario Result Evidence,Scenario result evidence,2C-2,13,1,13,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-014,Scenario Validation Evidence,Scenario validation evidence,2C-2,14,1,14,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-015,Trade-Off Evidence,Trade-off analysis evidence,2C-2,15,1,15,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-016,Financial Input Evidence,Financial input evidence,2C-3,16,1,16,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-017,Financial Cost Evidence,Financial cost evidence,2C-3,17,1,17,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-018,Financial Benefit Evidence,Financial benefit evidence,2C-3,18,1,18,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-019,Financial Uncertainty Evidence,Financial uncertainty evidence,2C-3,19,1,19,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-020,Financial Validation Evidence,Financial validation evidence,2C-3,20,1,20,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-021,Decision Integration Evidence,Decision integration evidence,2D-1,21,1,21,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-022,Readiness Evidence,Decision readiness evidence,2D-4,22,1,22,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-023,Action Eligibility Evidence,Action eligibility evidence,2D-5,23,1,23,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-024,Blocking-Condition Evidence,Blocking condition evidence,2D-4,24,1,24,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-025,Management Question Evidence,Management question evidence,2D-2,25,1,25,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-026,Governance Evidence,Governance rule evidence,2D-4,26,1,26,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-027,Audit Evidence,Audit requirement evidence,2D-5,27,1,27,True,1.0,Draft Analytical Configuration,True,Governed evidence category
EVCAT-028,Monitoring Evidence,Monitoring plan evidence,2D-5,28,1,28,True,1.0,Draft Analytical Configuration,True,Governed evidence category
