configuration_id,readiness_status,escalation_status,escalation_reason,escalation_target_role,escalation_queue,escalation_timeframe_category,readiness_limitation,management_attention_required,display_order,active_flag,version,approval_status,provisional_flag,governance_note
ACTESC-001,Ready for Integrated Management Review,Standard Review,Routine management review required,Hospital COO / General Manager,Integrated Management Review Queue,Routine,None,False,1,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-002,Ready with Conditions,Priority Review,Conditions require priority attention,Hospital COO / General Manager,Conditional Review Queue,Priority,Outstanding conditions,True,2,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-003,Requires Assumption Validation,Standard Review,Assumption validation required before progression,Analytics Team,Assumption Validation Queue,Routine,Assumption validation pending,False,3,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-004,Requires Baseline Validation,Standard Review,Baseline validation required before progression,Data Owner,Baseline Validation Queue,Routine,Baseline validation pending,False,4,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-005,Requires Financial Input,Standard Review,Financial input required before progression,Finance,Financial Input Queue,Routine,Financial input pending,False,5,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-006,Requires Benefit Validation,Standard Review,Benefit validation required before progression,Finance,Benefit Validation Queue,Routine,Benefit validation pending,False,6,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-007,Requires Budget Data,Standard Review,Budget data required before progression,Finance,Budget Information Queue,Routine,Budget data pending,False,7,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-008,Requires Stakeholder Validation,Standard Review,Stakeholder validation required before progression,Stakeholder Owner,Stakeholder Validation Queue,Routine,Stakeholder validation pending,False,8,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-009,Requires Additional Scenario Analysis,Standard Review,Additional scenario analysis required,Analytics Team,Additional Scenario Queue,Routine,Scenario analysis pending,False,9,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-010,Requires Evidence Completion,Standard Review,Evidence completion required,Data Owner,Evidence Completion Queue,Routine,Evidence completion pending,False,10,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-011,Requires Lineage Completion,Standard Review,Lineage completion required,Data Owner,Lineage Completion Queue,Routine,Lineage completion pending,False,11,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-012,Monitoring Only,Monitoring,Routine monitoring,Operations Manager,Monitoring Queue,Monitoring,Monitoring in progress,False,12,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-013,Non-Quantitative,Standard Review,Non-quantitative review required,Clinical Lead,Non-Quantitative Review Queue,Routine,Qualitative review pending,False,13,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-014,Not Suitable for Decision Use,No Escalation,Package not suitable for decision use,Governance / Audit Reviewer,Not Suitable Register,Not Applicable,Not suitable,False,14,True,1.0,Draft Analytical Configuration,True,Governed escalation
ACTESC-015,Rejected,No Escalation,Package rejected,Governance / Audit Reviewer,Rejected Register,Not Applicable,Rejected,False,15,True,1.0,Draft Analytical Configuration,True,Governed escalation
