dashboard_element,authoritative_source_file,actual_source_column,linked_key,example_source_value,data_type,filter_rule,aggregation_rule,transformation_rule,display_rule,missing_value_rule,verification_status,verification_note
hospital_selector,data/analytical/analytical_six_kpi_daily.csv,hospital_id,hospital_id,HOSP-001,string,distinct non-null values,none,map HOSP-001 to 'KPJ Ampang Puteri' via _HOSPITAL_NAMES dict,dropdown with display names,show hospital_id raw if name missing,Verified,Unique hospitals extracted from KPI daily data
department_selector,data/analytical/analytical_six_kpi_daily.csv,department_id,department_id,DEPT-ED,string,distinct non-null values per selected hospital,none,map DEPT-ED to 'Emergency Department' via _DEPARTMENT_NAMES dict,dropdown with display names,show department_id raw if name missing,Verified,Unique departments extracted from KPI daily data
year_selector,data/analytical/analytical_six_kpi_daily.csv,reporting_year,reporting_date,2026,integer,distinct years from reporting_date,none,extract year from reporting_date,dropdown with integer years,fallback to 2026,Verified,Years 2026 available in dataset
month_selector,data/analytical/analytical_six_kpi_daily.csv,reporting_month,reporting_date,12,integer,distinct months from reporting_date,none,extract month from reporting_date; format as 'Dec' for display,dropdown with month names,fallback to latest month,Verified,All 12 months available in dataset
analytical_snapshot,outputs/decision_intelligence/step_2d9_executive_package_handover_manifest.json,timestamp / generated_at,n/a,2026-07-30T14:32:00,string,none,none,read from manifest JSON,display as 'Frozen Analytical Snapshot - {timestamp}',display 'Unknown',Verified,Manifest file exists and contains timestamp field
operational_status,outputs/decision_intelligence/step_2d9_risk_alert_dataset.csv,"operational_escalation, risk_tier, urgency, management_attention",decision_package_id,HIGH OPERATIONAL PRESSURE,derived string,apply hospital/department/year/month filters,none,"derive_operational_status(): escalation first, then risk tier, urgency, attention",large colored text in banner,NOT ASSESSABLE,Verified,Derived from actual risk alert fields using priority rules
executive_narrative,outputs/decision_intelligence/step_2d9_risk_alert_dataset.csv,"dominant_kpi_name, affected_department, urgency, contributing_factors",decision_package_id,Staffing Level requires management attention...,derived string,apply filters,none,"build_executive_narrative(): 55-word max, cautious wording, no causality",text in status banner centre,No governed narrative available,Verified,Built from actual primary package fields
urgency,outputs/decision_intelligence/step_2d9_risk_alert_dataset.csv,urgency,decision_package_id,Immediate Review,string,apply filters,none,direct from primary package,metric pill in banner right,Not Available,Verified,Direct field from risk alert dataset
financial_exposure,outputs/decision_intelligence/step_2d9_financial_impact_dataset.csv,net_financial_impact,decision_package_id,-72780.0,float,match decision_package_id exactly,none (single package only),"format as RM {value:,.0f}",metric pill in banner right; NOT currency for confidence,Not Assessable,Verified,Package-specific lookup; NaN handled gracefully
evidence_status,outputs/decision_intelligence/step_2d9_executive_overview_dataset.csv,evidence_warning,decision_package_id,,string,match decision_package_id,none,direct field; clean 'nan' strings,metric pill in banner right,Complete,Verified,Uses evidence_warning as proxy for evidence status
data_confidence,outputs/decision_intelligence/step_2d9_executive_overview_dataset.csv,readiness_status,decision_package_id,Ready for Integrated Management Review,string,match decision_package_id,none,direct field; clean 'nan' strings,metric pill in banner right,Moderate,Verified,Uses readiness_status as proxy for data confidence
kpi_card_1,data/analytical/analytical_six_kpi_daily.csv,"kpi_name, kpi_value, unit, threshold_status, data_confidence_level","hospital_id, department_id, reporting_date",Staffing Level = 100.0%,float/string,"match hospital, department, year, month; latest per KPI",latest observation per KPI,format value with unit; derive border color from threshold_status parsed from risk_alert.dominant_breach,"card with value, threshold, trend chart",No data,Verified,Actual numeric values from six_kpi_daily; threshold from risk_alert
kpi_trend_chart,data/analytical/analytical_six_kpi_daily.csv,"kpi_value, reporting_date","hospital_id, department_id, kpi_name",12 historical points,timeseries float,"match hospital, department, KPI; last 12 points",ordered time series,Matplotlib line chart with threshold line and highlighted latest point,compact chart inside KPI card,show 'Insufficient Trend History' or 'No trend data',Verified,Real ordered historical observations from daily data
relationship_pathway,data/analytical/analytical_relationship_network_edges.csv,"source_kpi, target_kpi, relationship_direction",n/a (global relationships),Staffing Level -> Patient Satisfaction Score,string,none (uses first available governed edges),none,Matplotlib horizontal pathway with arrows and rounded boxes,wide panel below KPI cards,show 'No governed multi-KPI relationship pathway available',Verified,Uses actual relationship_network_edges dataset
main_affected_area,outputs/decision_intelligence/step_2d9_risk_alert_dataset.csv,affected_department,decision_package_id,Patient Experience,string,match decision_package_id,none,direct field,text below pathway,Not Available,Verified,Direct field from risk alert dataset
primary_permitted_action,outputs/decision_intelligence/step_2d9_integrated_decision_dataset.csv,primary_permitted_action,decision_package_id,Review temporary staffing intervention,string,match decision_package_id,none,direct field; clean 'nan' strings,bold text in Management Review panel,Not Available,Verified,Direct field from integrated decision dataset
estimated_cost,outputs/decision_intelligence/step_2d9_financial_impact_dataset.csv,central_estimate,decision_package_id,24820.0,float,match decision_package_id exactly,none (single package only),"format as RM {value:,.0f}",metric in Management Review panel,Not Available,Verified,Package-specific; no cross-package aggregation
estimated_benefit,outputs/decision_intelligence/step_2d9_financial_impact_dataset.csv,upper_estimate,decision_package_id,47580.0,float,match decision_package_id exactly,none (single package only),"format as RM {value:,.0f}",metric in Management Review panel,Not Available,Verified,Package-specific; no cross-package aggregation
estimated_net_impact,outputs/decision_intelligence/step_2d9_financial_impact_dataset.csv,net_financial_impact,decision_package_id,-72780.0,float,match decision_package_id exactly,none (single package only),"format as RM {value:,.0f}; verify reconciliation with benefit-cost",metric in Management Review panel; show reconciliation warning if mismatch,Not Available,Verified,Reconciliation check: net vs (benefit - cost); mismatch shows warning
