configuration_id,action_id,action_name,prerequisite_type,prerequisite_description,mandatory_flag,blocking_flag,responsible_role,evidence_required,current_status,completion_required_before_action,display_order,active_flag,version,approval_status,provisional_flag,governance_note
ACTPRE-001,A010,Proceed to Limited-Trial Consideration,Management Review,Explicit management review required,True,True,Hospital COO / General Manager,Management review documentation,Pending,True,1,True,1.0,Draft Analytical Configuration,True,Limited-trial prerequisite
ACTPRE-002,A010,Proceed to Limited-Trial Consideration,Baseline Availability,Baseline data must be available,True,True,Data Owner,Baseline validation record,Pending,True,2,True,1.0,Draft Analytical Configuration,True,Limited-trial prerequisite
ACTPRE-003,A010,Proceed to Limited-Trial Consideration,Scenario Completeness,Scenario analysis must be sufficiently complete,True,False,Analytics Team,Scenario analysis report,Pending,True,3,True,1.0,Draft Analytical Configuration,True,Limited-trial prerequisite
ACTPRE-004,A010,Proceed to Limited-Trial Consideration,Assumption Clearance,No blocking assumption issue remains,True,True,Analytics Team,Assumption validation record,Pending,True,4,True,1.0,Draft Analytical Configuration,True,Limited-trial prerequisite
ACTPRE-005,A010,Proceed to Limited-Trial Consideration,Governance Clearance,No blocking governance issue remains,True,True,Governance / Audit Reviewer,Governance review record,Pending,True,5,True,1.0,Draft Analytical Configuration,True,Limited-trial prerequisite
ACTPRE-006,A010,Proceed to Limited-Trial Consideration,Monitoring Definition,Monitoring requirements must be defined,True,False,Operations Manager,Monitoring plan,Pending,True,6,True,1.0,Draft Analytical Configuration,True,Limited-trial prerequisite
ACTPRE-007,A002,Compare Scenario Options,Scenario Availability,At least two scenarios must be available for comparison,True,False,Analytics Team,Scenario comparison report,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Scenario comparison prerequisite
ACTPRE-008,A003,Validate Assumptions,Assumption Documentation,Assumption documentation must be available,True,False,Analytics Team,Assumption documentation,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Validation prerequisite
ACTPRE-009,A004,Validate Baseline,Baseline Documentation,Baseline documentation must be available,True,False,Data Owner,Baseline documentation,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Validation prerequisite
ACTPRE-010,A005,Validate Financial Inputs,Financial Documentation,Financial input documentation must be available,True,False,Finance,Financial documentation,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Validation prerequisite
ACTPRE-011,A006,Validate Benefit Assumptions,Benefit Documentation,Benefit assumption documentation must be available,True,False,Finance,Benefit documentation,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Validation prerequisite
ACTPRE-012,A007,Provide Budget Information,Budget Authority,Budget authority must be confirmed,True,False,Finance,Budget authority record,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Budget prerequisite
ACTPRE-013,A008,Request Additional Scenario,Scenario Justification,Justification for additional scenario required,True,False,Analytics Team,Scenario request documentation,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Scenario prerequisite
ACTPRE-014,A009,Request Stakeholder Review,Stakeholder Identification,Relevant stakeholders must be identified,True,False,Stakeholder Owner,Stakeholder list,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Stakeholder prerequisite
ACTPRE-015,A001,Review Integrated Decision Package,Package Completeness,Decision package must be complete,True,False,Analytics Team,Package completeness check,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Review prerequisite
ACTPRE-016,A012,Escalate for Immediate Management Attention,Escalation Justification,Justification for escalation required,True,False,Operations Manager,Escalation justification,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Escalation prerequisite
ACTPRE-017,A013,Defer Decision,Deferral Justification,Justification for deferral required,False,False,Hospital COO / General Manager,Deferral documentation,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Deferral prerequisite
ACTPRE-018,A014,Reject Decision Use,Rejection Justification,Justification for rejection required,True,False,Hospital COO / General Manager,Rejection documentation,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Rejection prerequisite
ACTPRE-019,A015,Request Evidence Completion,Evidence Gap Identification,Evidence gaps must be identified,True,False,Data Owner,Evidence gap list,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Evidence prerequisite
ACTPRE-020,A016,Request Lineage Completion,Lineage Gap Identification,Lineage gaps must be identified,True,False,Data Owner,Lineage gap list,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Lineage prerequisite
ACTPRE-021,A017,Route to Non-Quantitative Review,Qualitative Assessment Need,Need for qualitative assessment must be established,True,False,Clinical Lead,Qualitative assessment need,Pending,False,1,True,1.0,Draft Analytical Configuration,True,Qualitative prerequisite
